0, 0, 1
0.2, 0.4, 0.6
0.6, 0.5, 0.6
0.6, 0.5, 0.2
0.2, 0.4, 0.2

0.2, 0.2, 0.6
0.6, 0.2, 0.6
0.6, 0.2, 0.2
0.2, 0.2, 0.2

0.2, 0.2, 0.6
0.2, 0.4, 0.6
0.2, 0.4, 0.2
0.2, 0.2, 0.2

0.6, 0.2, 0.6
0.6, 0.5, 0.6
0.6, 0.5, 0.2
0.6, 0.2, 0.2

0.2, 0.2, 0.6
0.6, 0.2, 0.6
0.6, 0.5, 0.6
0.2, 0.4, 0.6

0.2, 0.2, 0.2
0.6, 0.2, 0.2
0.6, 0.5, 0.2
0.2, 0.4, 0.2

0.7, 0.65, 0.6
0.7, 0.65, 0.2
1.7, 0.65, 0.2
1.7, 0.65, 0.6

0, 0, 1
1.8, 0.5, 0.6
1.8, 0.5, 0.2
2.1, 0.4, 0.2
2.1, 0.4, 0.6

2.1, 0.2, 0.6
2.1, 0.2, 0.2
1.8, 0.2, 0.6
1.8, 0.2, 0.6

2.1, 0.4, 0.6
2.1, 0.4, 0.2
2.1, 0.2, 0.2
2.1, 0.2, 0.6

1.8, 0.2, 0.2
1.8, 0.5, 0.2
2.1, 0.4, 0.2
2.1, 0.2, 0.2

1.8, 0.2, 0.6
1.8, 0.5, 0.6
2.1, 0.4, 0.6
2.1, 0.2, 0.6

0.6, 0.5, 0.6
0.6, 0.2, 0.6
1.8, 0.2, 0.6
1.8, 0.5, 0.6

0.6, 0.2, 0.6
0.6, 0.2, 0.2
1.8, 0.2, 0.2
1.8, 0.2, 0.6

0.6, 0.5, 0.2
0.6, 0.2, 0.2
1.8, 0.2, 0.2
1.8, 0.5, 0.2

0.3, 0.3, 0.3
0.77, 0.63, 0.2
0.75, 0.5, 0.2
1.2, 0.5, 0.2
1.22, 0.63, 0.2

1.27, 0.63,0.2
1.25, 0.5, 0.2        
1.65, 0.5, 0.2
1.67, 0.63, 0.2

0, 0, 1
0.7, 0.65, 0.2
0.7, 0.5, 0.2   
0.75, 0.5, 0.2
0.77, 0.65, 0.2

1.2, 0.65, 0.2
1.2, 0.5, .2     
1.25, 0.5, 0.2
1.27, 0.65, 0.2

1.65, 0.65, 0.2
1.65, 0.5, .2   
1.7, 0.5, 0.2
1.7, 0.65, 0.2

0.75, 0.65, 0.2
0.75, 0.63, 0.2     
1.7, 0.63, 0.2
1.7, 0.65, 0.2

0.75, 0.65, 0.6
0.75, 0.63, 0.6  
1.7, 0.63, 0.6
1.7, 0.65, 0.6

0.3, 0.3, 0.3
0.77, 0.63, 0.6
0.75, 0.5, 0.6        
1.2, 0.5, 0.6
1.22, 0.63, 0.6

1.27, 0.63, .6
1.25, 0.5, 0.6        
1.65, 0.5, 0.6
1.67, 0.63, 0.6

0, 0, 1
0.7, 0.65, 0.6
0.7, 0.5, .6       
0.75, 0.5, 0.6
0.77, 0.65, 0.6

1.2, 0.65, 0.6
1.2, 0.5, .6      
1.25, 0.5, 0.6
1.27, 0.65, 0.6

1.65, 0.65, 0.6
1.65, 0.5, .6
1.7, 0.5, 0.6
1.7, 0.65, 0.6
